source_id,internal_name,display_name_en,display_name_ar,description_en,description_ar,amount_minor,currency,category_path,category_section_id,image_url,published,is_available,sold_out,properties
692ddbf307d652ea346178ae,flame-ice-tea,Flame Ice Tea,Flame Ice Tea,,,3200,AED,Fine Tea,674cb463f0cee26ce297a6c9,https://media.finedinemenu.com/MawZBMZR_/a6e5505e-7e78-495a-ab9a-b3d86b8cd6bc.jpeg,true,true,false,new
6a6f955d3eda99a46831d1f4,blue-matcha,Blue Matcha,بلو ماتشا,,,3600,AED,Matcha,6a6f955c3eda99a46831d193,https://media.finedinemenu.com/MawZBMZR_/64220198-f9da-4ca6-ba96-dcfefb08a43b.jpeg,true,true,false,
695f9a38e7b269a36b554bec,mushroom-egg-toast,Mushroom Egg Toast,Mushroom Egg Toast,,,4200,AED,BreakFast & Brunch,67484e8d06a82d1000742a01,,true,true,false,new|signature
674ca01d55bbefc1372f095f,creamy-mushroom-soup,Creamy Mushroom Soup,Creamy Mushroom Soup,"Our rich and velvety mushroom soup prepared with mushrooms sautéed in Danish butter, mixed with vegetables, broth, and a splash of cream for a comforting finish.","Our rich and velvety mushroom soup prepared with mushrooms sautéed in Danish butter, mixed with vegetables, broth, and a splash of cream for a comforting finish.",2200,AED,Lunch & Dinner / Soup,674c9f73f0cee26ce295c3b5,https://media.finedinemenu.com/MawZBMZR_/fdd7d912-1170-4f82-bcc5-5c1851e3faf3.jpeg,true,true,false,
674ee2a61d0dd89a035f3f39,schnitzel-caesar-salad,Schnitzel Caesar Salad,Schnitzel Caesar Salad,A delightful blend of crispy German-style breaded chicken served atop a classic Caesar salad for a savory twist on a traditional favorite.,A delightful blend of crispy German-style breaded chicken served atop a classic Caesar salad for a savory twist on a traditional favorite.,4200,AED,Lunch & Dinner / Salad,674d5a20372f00d7a43b98ef,https://media.finedinemenu.com/MawZBMZR_/22516584-a9ac-4780-ab92-55a0d828f037.jpeg,true,true,false,
674ca0d28be796a22d72acd3,rock-shrimp,Rock Shrimp,Rock Shrimp,,,4200,AED,Lunch & Dinner / Appetizer,674ca05e8be796a22d729feb,https://media.finedinemenu.com/MawZBMZR_/45d124d1-ca2c-45ad-902b-36a55299f177.jpeg,true,true,false,
6753262e800cddc764e6ac73,shrimp-quesadilla,Shrimp Quesadilla,Shrimp Quesadilla,,,5000,AED,Lunch & Dinner / For The Table,674ca5848be796a22d732881,https://media.finedinemenu.com/MawZBMZR_/00008d60-d103-4a1f-9deb-615df5c6362a.jpeg,true,true,false,
675326580bb79ee86fa092ab,tenderloin-mushroom-cheese,Tenderloin Mushroom Cheese,Tenderloin Mushroom Cheese,,,6000,AED,Lunch & Dinner / Main Quotes,674ca5dd1cf886ae40b2cfa0,https://media.finedinemenu.com/MawZBMZR_/dce9629e-ee68-473b-9135-3c896cca155d.jpeg,true,true,false,
674ca40d372f00d7a4354fd8,grilled-chicken-pink-pasta,Grilled Chicken Pink Pasta,Grilled Chicken Pink Pasta,,,5500,AED,Lunch & Dinner / Pasta,674ca3a9f0cee26ce296300a,https://media.finedinemenu.com/MawZBMZR_/c74f8550-3488-4e12-8d0b-4295a540dcc8.jpeg,true,true,false,
674ca3383675fd23e999b4a8,sweet-quinoa-burger,Sweet Quinoa Burger,Sweet Quinoa Burger,,,3700,AED,Lunch & Dinner / Sandwiches,674ca28a71e1e924975abe51,https://media.finedinemenu.com/MawZBMZR_/f9b71707-6324-4ccc-8abb-9b06fcc85e20.jpeg,true,true,false,
675719fb2035a1ee35256cad,san-sebastian-cheesecake,San Sebastian Cheesecake,San Sebastian Cheesecake,,,4200,AED,Dessert,674ca73df0cee26ce2968444,https://media.finedinemenu.com/MawZBMZR_/50f43287-fcac-419c-8fc5-e75ef5bebb49.jpeg,true,true,false,
674cba7455bbefc137315f1d,aeropress,AeroPress,ايرو بريس,,,3500,AED,Speciality Coffee / Filtered Coffee,674cb7eb3675fd23e99b8489,https://media.finedinemenu.com/MawZBMZR_/1462039e-5dde-4a3e-91d4-a60138d9e7f6.jpeg,true,true,false,
674cbb2c372f00d7a43737d7,piccolo,Piccolo,Piccolo,,,2300,AED,Speciality Coffee / Milk-base Coffee,674cb8d582fe974dd29f637b,,true,true,false,
67607d39d5b1d6833feb2be5,pistachio-frappe,Pistachio Frappe,Pistachio Frappe,,,4000,AED,Speciality Coffee / Frappes,676077d8623402209d07f27c,https://media.finedinemenu.com/MawZBMZR_/1f4eba2e-a739-4713-ac4c-becf6bcf54e4.jpeg,true,true,false,
674cb3b382fe974dd29f0004,strawberry-mojito,Strawberry Mojito,Strawberry Mojito,,,3000,AED,Beverages / Mocktails,674cb36c71e1e924975c4744,https://media.finedinemenu.com/MawZBMZR_/7753ab2d-c402-47de-be7e-fc4877d69634.jpeg,true,true,false,
674cb44c82fe974dd29f0c40,vimto-rose-frosty,Vimto Rose Frosty,Vimto Rose Frosty,,,2700,AED,Beverages / Frosty Sips,674cb3f38be796a22d747cde,https://media.finedinemenu.com/MawZBMZR_/847f7102-ea02-49da-a713-70fc23a43c04.jpeg,true,true,false,
674cafda372f00d7a436673a,acai-smoothie,Acai Smoothie,Acai Smoothie,,,4000,AED,Beverages / Smoothie,674caf7052f895a5b6f27bfb,https://media.finedinemenu.com/MawZBMZR_/d91f9d3c-dd4d-4a33-bb20-22ed41d16663.jpeg,true,true,false,
674cb688a0dce0a0eed1df51,vanilla-milkshake,Vanilla Milkshake,Vanilla Milkshake,,,3500,AED,Beverages / Milkshake,674cb63352f895a5b6f307d2,https://media.finedinemenu.com/MawZBMZR_/27a4f08c-e2b6-49b4-9efb-3df3698d7f77.jpeg,true,true,false,
674cb27e71e1e924975c3512,fresh-lemon-orange,Fresh lemon Orange,Fresh lemon Orange,,,2600,AED,Beverages / Fresh Juice,674cb009a17564e113216a7f,https://media.finedinemenu.com/MawZBMZR_/99fde800-3699-4271-8b04-1fb03c853bec.jpeg,true,true,false,
674d7fa8372f00d7a43e0c3d,sprite,Sprite,Sprite,,,1200,AED,Beverages / Softdrinks,674d7f3c8104a31225bf1012,,true,true,false,
674d80cc372f00d7a43e2bfb,al-ain-still-water-330ml,Al Ain Still Water 330ml,Al Ain Still Water 330ml,,,1000,AED,Beverages / Water,674d7c8b82fe974dd2a62b58,,true,true,false,
69614bda8839882a16f3f755,honey-wine-colombia,Honey-wine - COLOMBIA,Honey-wine - COLOMBIA,,,4600,AED,New V60 Beans,69614b90e5ccb143a4cd02b2,https://media.finedinemenu.com/MawZBMZR_/c23da780-dd28-4f20-b17c-cbf6e430638c.jpeg,true,true,false,
6a79eb5eb12eaaeac1074d0c,dirty-cinnamon-espresso,Dirty Cinnamon Espresso,لاتيه المميز لكوتس,,,3200,AED,Signature,674cb57582fe974dd29f2197,,true,true,false,popular
